-2.93215;0.762617;
-2.72271;0.571754;
-2.51327;0.288219;
-2.30383;-0.0420323;
-2.0944;-0.365471;
-1.88496;-0.629672;
-1.67552;-0.791813;
-1.46608;-0.825614;
-1.25664;-0.725596;
-1.0472;-0.50797;
-0.837758;-0.20801;
-0.628319;0.125666;
-0.418879;0.438972;
-0.20944;0.681129;
0;0.812884;
0.20944;0.812884;
0.418879;0.681129;
0.628319;0.438972;
0.837758;0.125666;
1.0472;-0.20801;
1.25664;-0.50797;
1.46608;-0.725596;
1.67552;-0.825614;
1.88496;-0.791813;
2.0944;-0.629672;
2.30383;-0.365471;
2.51327;-0.0420323;
2.72271;0.288219;
2.93215;0.571754;
3.14159;0.762617;
