-2.92493;-0.610762;
-2.70827;-0.907313;
-2.49161;-1.0568;
-2.27495;-1.035;
-2.05828;-0.845444;
-1.84162;-0.518852;
-1.62496;-0.108162;
-1.4083;0.320059;
-1.19164;0.696404;
-0.974977;0.959872;
-0.758315;1.06776;
-0.541654;1.00258;
-0.324992;0.7749;
-0.108331;0.421619;
0.108331;-0;
0.324992;-0.421619;
0.541654;-0.7749;
0.758315;-1.00258;
0.974977;-1.06776;
1.19164;-0.959872;
1.4083;-0.696404;
1.62496;-0.320059;
1.84162;0.108162;
2.05828;0.518852;
2.27495;0.845444;
2.49161;1.035;
2.70827;1.0568;
2.92493;0.907313;
3.14159;0.610762;
